Rank,State,July 2019 Estimate,Percent of Total
1,California,"39,512,223",11.91%
2,Texas,"28,995,881",8.74%
3,Florida,"21,477,737",6.47%
4,New York,"19,453,561",5.86%
5,Illinois,"12,671,821",3.86%
6,Pennsylvania,"12,801,989",3.82%
7,Ohio,"11,689,100",3.52%
8,Georgia,"10,617,423",3.20%
9,North Carolina,"10,488,084",3.16%
10,Michigan,"9,986,857",3.01%
11,New Jersey,"8,882,190",2.68%
12,Virginia,"8,535,519",2.57%
13,Washington,"7,614,893",2.29%
14,Arizona,"7,278,717",2.19%
15,Massachusetts,"6,949,503",2.09%
16,Tennessee,"6,833,174",2.06%
17,Indiana,"6,732,219",2.03%
18,Missouri,"6,137,428",1.85%
19,Maryland,"6,045,680",1.82%
20,Wisconsin,"5,822,434",1.75%
21,Colorado,"5,758,736",1.74%
22,Minnesota,"5,639,632",1.70%
23,South Carolina,"5,148,714",1.55%
24,Alabama,"4,903,185",1.48%
25,Louisiana,"4,648,794",1.40%
26,Kentucky,"4,467,673",1.35%
27,Oregon,"4,217,737",1.27%
28,Oklahoma,"3,956,971",1.19%
29,Connecticut,"3,565,287",1.07%
30,Utah,"3,205,958",0.97%
31,Iowa,"3,155,070",0.95%
32,Nevada,"3,080,156",0.93%
33,Arkansas,"3,017,825",0.91%
34,Mississippi,"2,976,149",0.90%
35,Kansas,"2,913,314",0.88%
36,New Mexico,"2,096,829",0.63%
37,Nebraska,"1,934,408",0.58%
38,West Virginia,"1,792,147",0.54%
39,Idaho,"1,787,065",0.54%
40,Hawaii,"1,415,872",0.43%
41,New Hampshire,"1,359,711",0.41%
42,Maine,"1,344,212",0.41%
43,Montana,"1,068,778",0.32%
44,Rhode Island,"1,059,361",0.32%
45,Delaware,"973,764",0.29%
46,South Dakota,"884,659",0.27%
47,North Dakota,"762,062",0.23%
48,Alaska,"731,545",0.22%
49,District of Columbia,"705,749",0.21%
50,Vermont,"623,989",0.19%
51,Wyoming,"578,759",0.17%
