,State,Scam Count,Population,Scams/Mil,Unemployment Rate
0,TX,1866,28995881,64,6.9
1,CA,1634,39512223,41,8.5
2,FL,1175,21477737,54,4.7
3,NY,844,19453561,43,8.9
4,GA,839,10617423,79,4.8
5,OH,752,11689100,64,5.0
6,NC,577,10488084,55,5.7
7,IL,512,12671821,40,7.4
8,TN,461,6833174,67,4.9
9,VA,443,8535519,51,5.2
10,MI,439,9986857,43,5.2
11,NJ,428,8882190,48,7.8
12,PA,416,12801989,32,7.3
13,AZ,401,7278717,55,6.9
14,MO,350,6137428,57,4.2
15,IN,347,6732219,51,4.0
16,MD,320,6045680,52,6.2
17,WA,317,7614893,41,5.6
18,CO,306,5758736,53,6.6
19,LA,285,4648794,61,7.6
20,AL,284,4903185,57,4.0
21,SC,257,5148714,49,5.2
22,KY,230,4467673,51,5.2
23,WI,226,5822434,38,3.8
24,NV,213,3080156,69,8.3
25,MN,201,5639632,35,4.3
26,MA,194,6949503,27,7.1
27,MS,177,2976149,59,6.3
28,OK,165,3956971,41,4.4
29,OR,158,4217737,37,6.1
30,AR,142,3017825,47,4.5
31,CT,131,3565287,36,8.5
32,UT,128,3205958,39,3.0
33,ID,125,1787065,69,3.3
34,KS,104,2913314,35,3.2
35,NM,94,2096829,44,8.3
36,IA,75,3155070,23,3.6
37,NE,71,1934408,36,3.1
38,HI,70,1415872,49,9.2
39,DE,64,973764,65,6.3
40,AK,53,731545,72,6.6
41,WV,51,1792147,28,6.2
42,NH,46,1359711,33,3.3
43,MT,34,1068778,31,3.9
44,ME,28,1344212,20,4.8
45,DC,26,705749,36,8.1
46,ND,19,762062,24,4.7
47,SD,19,884659,21,2.9
48,WY,17,578759,29,5.3
49,VT,17,623989,27,3.1
50,RI,17,1059361,16,7.3
